scenario,crim_pos,crim_strat,crim_bounded_rat,crim_bound_rat_time,crim_loose_goal,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
66,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,main,3,5
67,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,main,5,5
68,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,main,10,5
69,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,side,3,5
70,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,side,5,5
71,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,side,10,5
72,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,main,3,5
73,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,main,5,5
74,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,main,10,5
75,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,side,3,5
76,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,side,5,5
77,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,side,10,5
78,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,main,3,5
79,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,main,5,5
80,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,main,10,5
81,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,side,3,5
82,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,side,5,5
83,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,side,10,5
84,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,main,3,5
85,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,main,5,5
86,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,main,10,5
87,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,side,3,5
88,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,side,5,5
89,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,side,10,5
90,centre,random,TRUE,1,FALSE,TRUE,10,largest,station_exit,main,3,5
91,centre,random,TRUE,1,FALSE,TRUE,10,largest,station_exit,main,5,5
92,centre,random,TRUE,1,FALSE,TRUE,10,largest,station_exit,main,10,5
93,centre,random,TRUE,1,FALSE,TRUE,10,largest,station_exit,side,3,5
94,centre,random,TRUE,1,FALSE,TRUE,10,largest,station_exit,side,5,5
95,centre,random,TRUE,1,FALSE,TRUE,10,largest,station_exit,side,10,5
96,centre,random,TRUE,1,FALSE,TRUE,10,surround,metro_platform,main,3,5
97,centre,random,TRUE,1,FALSE,TRUE,10,surround,metro_platform,main,5,5
98,centre,random,TRUE,1,FALSE,TRUE,10,surround,metro_platform,main,10,5
99,centre,random,TRUE,1,FALSE,TRUE,10,surround,metro_platform,side,3,5
100,centre,random,TRUE,1,FALSE,TRUE,10,surround,metro_platform,side,5,5
101,centre,random,TRUE,1,FALSE,TRUE,10,surround,metro_platform,side,10,5
102,centre,random,TRUE,1,FALSE,TRUE,10,surround,station_exit,main,3,5
103,centre,random,TRUE,1,FALSE,TRUE,10,surround,station_exit,main,5,5
104,centre,random,TRUE,1,FALSE,TRUE,10,surround,station_exit,main,10,5
105,centre,random,TRUE,1,FALSE,TRUE,10,surround,station_exit,side,3,5
106,centre,random,TRUE,1,FALSE,TRUE,10,surround,station_exit,side,5,5
107,centre,random,TRUE,1,FALSE,TRUE,10,surround,station_exit,side,10,5
108,centre,random,TRUE,1,FALSE,FALSE,10,furthest,metro_platform,main,3,5
109,centre,random,TRUE,1,FALSE,FALSE,10,furthest,metro_platform,main,5,5
110,centre,random,TRUE,1,FALSE,FALSE,10,furthest,metro_platform,main,10,5
111,centre,random,TRUE,1,FALSE,FALSE,10,furthest,metro_platform,side,3,5
112,centre,random,TRUE,1,FALSE,FALSE,10,furthest,metro_platform,side,5,5
113,centre,random,TRUE,1,FALSE,FALSE,10,furthest,metro_platform,side,10,5
114,centre,random,TRUE,1,FALSE,FALSE,10,furthest,station_exit,main,3,5
115,centre,random,TRUE,1,FALSE,FALSE,10,furthest,station_exit,main,5,5
116,centre,random,TRUE,1,FALSE,FALSE,10,furthest,station_exit,main,10,5
117,centre,random,TRUE,1,FALSE,FALSE,10,furthest,station_exit,side,3,5
118,centre,random,TRUE,1,FALSE,FALSE,10,furthest,station_exit,side,5,5
119,centre,random,TRUE,1,FALSE,FALSE,10,furthest,station_exit,side,10,5
120,centre,random,TRUE,1,FALSE,FALSE,10,largest,metro_platform,main,3,5
121,centre,random,TRUE,1,FALSE,FALSE,10,largest,metro_platform,main,5,5
122,centre,random,TRUE,1,FALSE,FALSE,10,largest,metro_platform,main,10,5
123,centre,random,TRUE,1,FALSE,FALSE,10,largest,metro_platform,side,3,5
124,centre,random,TRUE,1,FALSE,FALSE,10,largest,metro_platform,side,5,5
125,centre,random,TRUE,1,FALSE,FALSE,10,largest,metro_platform,side,10,5
126,centre,random,TRUE,1,FALSE,FALSE,10,largest,station_exit,main,3,5
127,centre,random,TRUE,1,FALSE,FALSE,10,largest,station_exit,main,5,5
128,centre,random,TRUE,1,FALSE,FALSE,10,largest,station_exit,main,10,5
129,centre,random,TRUE,1,FALSE,FALSE,10,largest,station_exit,side,3,5
130,centre,random,TRUE,1,FALSE,FALSE,10,largest,station_exit,side,5,5
131,centre,random,TRUE,1,FALSE,FALSE,10,largest,station_exit,side,10,5
132,centre,random,TRUE,1,FALSE,FALSE,10,surround,metro_platform,main,3,5
133,centre,random,TRUE,1,FALSE,FALSE,10,surround,metro_platform,main,5,5
134,centre,random,TRUE,1,FALSE,FALSE,10,surround,metro_platform,main,10,5
135,centre,random,TRUE,1,FALSE,FALSE,10,surround,metro_platform,side,3,5
136,centre,random,TRUE,1,FALSE,FALSE,10,surround,metro_platform,side,5,5
137,centre,random,TRUE,1,FALSE,FALSE,10,surround,metro_platform,side,10,5
138,centre,random,TRUE,1,FALSE,FALSE,10,surround,station_exit,main,3,5
139,centre,random,TRUE,1,FALSE,FALSE,10,surround,station_exit,main,5,5
140,centre,random,TRUE,1,FALSE,FALSE,10,surround,station_exit,main,10,5
141,centre,random,TRUE,1,FALSE,FALSE,10,surround,station_exit,side,3,5
142,centre,random,TRUE,1,FALSE,FALSE,10,surround,station_exit,side,5,5
143,centre,random,TRUE,1,FALSE,FALSE,10,surround,station_exit,side,10,5
144,centre,random,TRUE,3,TRUE,TRUE,10,furthest,metro_platform,main,3,5
145,centre,random,TRUE,3,TRUE,TRUE,10,furthest,metro_platform,main,5,5
146,centre,random,TRUE,3,TRUE,TRUE,10,furthest,metro_platform,main,10,5
147,centre,random,TRUE,3,TRUE,TRUE,10,furthest,metro_platform,side,3,5
148,centre,random,TRUE,3,TRUE,TRUE,10,furthest,metro_platform,side,5,5
149,centre,random,TRUE,3,TRUE,TRUE,10,furthest,metro_platform,side,10,5
150,centre,random,TRUE,3,TRUE,TRUE,10,furthest,station_exit,main,3,5
151,centre,random,TRUE,3,TRUE,TRUE,10,furthest,station_exit,main,5,5
152,centre,random,TRUE,3,TRUE,TRUE,10,furthest,station_exit,main,10,5
153,centre,random,TRUE,3,TRUE,TRUE,10,furthest,station_exit,side,3,5
154,centre,random,TRUE,3,TRUE,TRUE,10,furthest,station_exit,side,5,5
155,centre,random,TRUE,3,TRUE,TRUE,10,furthest,station_exit,side,10,5
