scenario,crim_pos,crim_strat,crim_bounded_rat,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
97,centre,random,False,True,10,surround,metro_platform,main,5,5
98,centre,random,False,True,10,surround,metro_platform,main,10,5
99,centre,random,False,True,10,surround,metro_platform,side,3,5
100,centre,random,False,True,10,surround,metro_platform,side,5,5
101,centre,random,False,True,10,surround,metro_platform,side,10,5
102,centre,random,False,True,10,surround,station_exit,main,3,5
103,centre,random,False,True,10,surround,station_exit,main,5,5
104,centre,random,False,True,10,surround,station_exit,main,10,5
105,centre,random,False,True,10,surround,station_exit,side,3,5
106,centre,random,False,True,10,surround,station_exit,side,5,5
107,centre,random,False,True,10,surround,station_exit,side,10,5
108,centre,random,False,False,10,furthest,metro_platform,main,3,5
109,centre,random,False,False,10,furthest,metro_platform,main,5,5
110,centre,random,False,False,10,furthest,metro_platform,main,10,5
111,centre,random,False,False,10,furthest,metro_platform,side,3,5
112,centre,random,False,False,10,furthest,metro_platform,side,5,5
113,centre,random,False,False,10,furthest,metro_platform,side,10,5
114,centre,random,False,False,10,furthest,station_exit,main,3,5
115,centre,random,False,False,10,furthest,station_exit,main,5,5
116,centre,random,False,False,10,furthest,station_exit,main,10,5
117,centre,random,False,False,10,furthest,station_exit,side,3,5
118,centre,random,False,False,10,furthest,station_exit,side,5,5
119,centre,random,False,False,10,furthest,station_exit,side,10,5
120,centre,random,False,False,10,largest,metro_platform,main,3,5
121,centre,random,False,False,10,largest,metro_platform,main,5,5
122,centre,random,False,False,10,largest,metro_platform,main,10,5
123,centre,random,False,False,10,largest,metro_platform,side,3,5
124,centre,random,False,False,10,largest,metro_platform,side,5,5
125,centre,random,False,False,10,largest,metro_platform,side,10,5
126,centre,random,False,False,10,largest,station_exit,main,3,5
127,centre,random,False,False,10,largest,station_exit,main,5,5
128,centre,random,False,False,10,largest,station_exit,main,10,5
129,centre,random,False,False,10,largest,station_exit,side,3,5
130,centre,random,False,False,10,largest,station_exit,side,5,5
131,centre,random,False,False,10,largest,station_exit,side,10,5
132,centre,random,False,False,10,surround,metro_platform,main,3,5
133,centre,random,False,False,10,surround,metro_platform,main,5,5
134,centre,random,False,False,10,surround,metro_platform,main,10,5
135,centre,random,False,False,10,surround,metro_platform,side,3,5
136,centre,random,False,False,10,surround,metro_platform,side,5,5
137,centre,random,False,False,10,surround,metro_platform,side,10,5
138,centre,random,False,False,10,surround,station_exit,main,3,5
139,centre,random,False,False,10,surround,station_exit,main,5,5
140,centre,random,False,False,10,surround,station_exit,main,10,5
141,centre,random,False,False,10,surround,station_exit,side,3,5
142,centre,random,False,False,10,surround,station_exit,side,5,5
143,centre,random,False,False,10,surround,station_exit,side,10,5
144,centre,to_train,True,True,10,furthest,metro_platform,main,3,5
145,centre,to_train,True,True,10,furthest,metro_platform,main,5,5
146,centre,to_train,True,True,10,furthest,metro_platform,main,10,5
147,centre,to_train,True,True,10,furthest,metro_platform,side,3,5
148,centre,to_train,True,True,10,furthest,metro_platform,side,5,5
149,centre,to_train,True,True,10,furthest,metro_platform,side,10,5
150,centre,to_train,True,True,10,furthest,station_exit,main,3,5
151,centre,to_train,True,True,10,furthest,station_exit,main,5,5
152,centre,to_train,True,True,10,furthest,station_exit,main,10,5
153,centre,to_train,True,True,10,furthest,station_exit,side,3,5
154,centre,to_train,True,True,10,furthest,station_exit,side,5,5
155,centre,to_train,True,True,10,furthest,station_exit,side,10,5
156,centre,to_train,True,True,10,largest,metro_platform,main,3,5
157,centre,to_train,True,True,10,largest,metro_platform,main,5,5
158,centre,to_train,True,True,10,largest,metro_platform,main,10,5
159,centre,to_train,True,True,10,largest,metro_platform,side,3,5
160,centre,to_train,True,True,10,largest,metro_platform,side,5,5
161,centre,to_train,True,True,10,largest,metro_platform,side,10,5
162,centre,to_train,True,True,10,largest,station_exit,main,3,5
163,centre,to_train,True,True,10,largest,station_exit,main,5,5
