scenario,crim_pos,crim_strat,crim_bounded_rat,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
60,centre,random,False,10,surround,metro_platform,main,3,5
61,centre,random,False,10,surround,metro_platform,main,5,5
62,centre,random,False,10,surround,metro_platform,main,10,5
63,centre,random,False,10,surround,metro_platform,side,3,5
64,centre,random,False,10,surround,metro_platform,side,5,5
65,centre,random,False,10,surround,metro_platform,side,10,5
66,centre,random,False,10,surround,station_exit,main,3,5
67,centre,random,False,10,surround,station_exit,main,5,5
68,centre,random,False,10,surround,station_exit,main,10,5
69,centre,random,False,10,surround,station_exit,side,3,5
70,centre,random,False,10,surround,station_exit,side,5,5
71,centre,random,False,10,surround,station_exit,side,10,5
72,centre,to_train,True,10,furthest,metro_platform,main,3,5
73,centre,to_train,True,10,furthest,metro_platform,main,5,5
74,centre,to_train,True,10,furthest,metro_platform,main,10,5
75,centre,to_train,True,10,furthest,metro_platform,side,3,5
76,centre,to_train,True,10,furthest,metro_platform,side,5,5
77,centre,to_train,True,10,furthest,metro_platform,side,10,5
78,centre,to_train,True,10,furthest,station_exit,main,3,5
79,centre,to_train,True,10,furthest,station_exit,main,5,5
80,centre,to_train,True,10,furthest,station_exit,main,10,5
81,centre,to_train,True,10,furthest,station_exit,side,3,5
82,centre,to_train,True,10,furthest,station_exit,side,5,5
83,centre,to_train,True,10,furthest,station_exit,side,10,5
84,centre,to_train,True,10,largest,metro_platform,main,3,5
85,centre,to_train,True,10,largest,metro_platform,main,5,5
86,centre,to_train,True,10,largest,metro_platform,main,10,5
87,centre,to_train,True,10,largest,metro_platform,side,3,5
88,centre,to_train,True,10,largest,metro_platform,side,5,5
89,centre,to_train,True,10,largest,metro_platform,side,10,5
90,centre,to_train,True,10,largest,station_exit,main,3,5
91,centre,to_train,True,10,largest,station_exit,main,5,5
92,centre,to_train,True,10,largest,station_exit,main,10,5
93,centre,to_train,True,10,largest,station_exit,side,3,5
94,centre,to_train,True,10,largest,station_exit,side,5,5
95,centre,to_train,True,10,largest,station_exit,side,10,5
96,centre,to_train,True,10,surround,metro_platform,main,3,5
97,centre,to_train,True,10,surround,metro_platform,main,5,5
98,centre,to_train,True,10,surround,metro_platform,main,10,5
99,centre,to_train,True,10,surround,metro_platform,side,3,5
100,centre,to_train,True,10,surround,metro_platform,side,5,5
101,centre,to_train,True,10,surround,metro_platform,side,10,5
102,centre,to_train,True,10,surround,station_exit,main,3,5
103,centre,to_train,True,10,surround,station_exit,main,5,5
104,centre,to_train,True,10,surround,station_exit,main,10,5
105,centre,to_train,True,10,surround,station_exit,side,3,5
106,centre,to_train,True,10,surround,station_exit,side,5,5
107,centre,to_train,True,10,surround,station_exit,side,10,5
108,centre,to_train,False,10,furthest,metro_platform,main,3,5
109,centre,to_train,False,10,furthest,metro_platform,main,5,5
110,centre,to_train,False,10,furthest,metro_platform,main,10,5
111,centre,to_train,False,10,furthest,metro_platform,side,3,5
112,centre,to_train,False,10,furthest,metro_platform,side,5,5
113,centre,to_train,False,10,furthest,metro_platform,side,10,5
114,centre,to_train,False,10,furthest,station_exit,main,3,5
115,centre,to_train,False,10,furthest,station_exit,main,5,5
116,centre,to_train,False,10,furthest,station_exit,main,10,5
117,centre,to_train,False,10,furthest,station_exit,side,3,5
118,centre,to_train,False,10,furthest,station_exit,side,5,5
119,centre,to_train,False,10,furthest,station_exit,side,10,5
120,centre,to_train,False,10,largest,metro_platform,main,3,5
121,centre,to_train,False,10,largest,metro_platform,main,5,5
122,centre,to_train,False,10,largest,metro_platform,main,10,5
123,centre,to_train,False,10,largest,metro_platform,side,3,5
124,centre,to_train,False,10,largest,metro_platform,side,5,5
125,centre,to_train,False,10,largest,metro_platform,side,10,5
126,centre,to_train,False,10,largest,station_exit,main,3,5
127,centre,to_train,False,10,largest,station_exit,main,5,5
128,centre,to_train,False,10,largest,station_exit,main,10,5
129,centre,to_train,False,10,largest,station_exit,side,3,5
130,centre,to_train,False,10,largest,station_exit,side,5,5
131,centre,to_train,False,10,largest,station_exit,side,10,5
132,centre,to_train,False,10,surround,metro_platform,main,3,5
133,centre,to_train,False,10,surround,metro_platform,main,5,5
134,centre,to_train,False,10,surround,metro_platform,main,10,5
135,centre,to_train,False,10,surround,metro_platform,side,3,5
136,centre,to_train,False,10,surround,metro_platform,side,5,5
137,centre,to_train,False,10,surround,metro_platform,side,10,5
138,centre,to_train,False,10,surround,station_exit,main,3,5
139,centre,to_train,False,10,surround,station_exit,main,5,5
140,centre,to_train,False,10,surround,station_exit,main,10,5
141,centre,to_train,False,10,surround,station_exit,side,3,5
142,centre,to_train,False,10,surround,station_exit,side,5,5
143,centre,to_train,False,10,surround,station_exit,side,10,5
144,centre,furthest,True,10,furthest,metro_platform,main,3,5
145,centre,furthest,True,10,furthest,metro_platform,main,5,5
146,centre,furthest,True,10,furthest,metro_platform,main,10,5
147,centre,furthest,True,10,furthest,metro_platform,side,3,5
148,centre,furthest,True,10,furthest,metro_platform,side,5,5
149,centre,furthest,True,10,furthest,metro_platform,side,10,5
150,centre,furthest,True,10,furthest,station_exit,main,3,5
151,centre,furthest,True,10,furthest,station_exit,main,5,5
152,centre,furthest,True,10,furthest,station_exit,main,10,5
153,centre,furthest,True,10,furthest,station_exit,side,3,5
154,centre,furthest,True,10,furthest,station_exit,side,5,5
155,centre,furthest,True,10,furthest,station_exit,side,10,5
156,centre,furthest,True,10,largest,metro_platform,main,3,5
157,centre,furthest,True,10,largest,metro_platform,main,5,5
158,centre,furthest,True,10,largest,metro_platform,main,10,5
159,centre,furthest,True,10,largest,metro_platform,side,3,5
160,centre,furthest,True,10,largest,metro_platform,side,5,5
161,centre,furthest,True,10,largest,metro_platform,side,10,5
162,centre,furthest,True,10,largest,station_exit,main,3,5
163,centre,furthest,True,10,largest,station_exit,main,5,5
164,centre,furthest,True,10,largest,station_exit,main,10,5
165,centre,furthest,True,10,largest,station_exit,side,3,5
166,centre,furthest,True,10,largest,station_exit,side,5,5
167,centre,furthest,True,10,largest,station_exit,side,10,5
168,centre,furthest,True,10,surround,metro_platform,main,3,5
169,centre,furthest,True,10,surround,metro_platform,main,5,5
170,centre,furthest,True,10,surround,metro_platform,main,10,5
171,centre,furthest,True,10,surround,metro_platform,side,3,5
172,centre,furthest,True,10,surround,metro_platform,side,5,5
173,centre,furthest,True,10,surround,metro_platform,side,10,5
174,centre,furthest,True,10,surround,station_exit,main,3,5
175,centre,furthest,True,10,surround,station_exit,main,5,5
176,centre,furthest,True,10,surround,station_exit,main,10,5
177,centre,furthest,True,10,surround,station_exit,side,3,5
178,centre,furthest,True,10,surround,station_exit,side,5,5
179,centre,furthest,True,10,surround,station_exit,side,10,5
180,centre,furthest,False,10,furthest,metro_platform,main,3,5
181,centre,furthest,False,10,furthest,metro_platform,main,5,5
182,centre,furthest,False,10,furthest,metro_platform,main,10,5
183,centre,furthest,False,10,furthest,metro_platform,side,3,5
184,centre,furthest,False,10,furthest,metro_platform,side,5,5
185,centre,furthest,False,10,furthest,metro_platform,side,10,5
186,centre,furthest,False,10,furthest,station_exit,main,3,5
187,centre,furthest,False,10,furthest,station_exit,main,5,5
188,centre,furthest,False,10,furthest,station_exit,main,10,5
189,centre,furthest,False,10,furthest,station_exit,side,3,5
190,centre,furthest,False,10,furthest,station_exit,side,5,5
191,centre,furthest,False,10,furthest,station_exit,side,10,5
192,centre,furthest,False,10,largest,metro_platform,main,3,5
193,centre,furthest,False,10,largest,metro_platform,main,5,5
194,centre,furthest,False,10,largest,metro_platform,main,10,5
195,centre,furthest,False,10,largest,metro_platform,side,3,5
196,centre,furthest,False,10,largest,metro_platform,side,5,5
197,centre,furthest,False,10,largest,metro_platform,side,10,5
198,centre,furthest,False,10,largest,station_exit,main,3,5
199,centre,furthest,False,10,largest,station_exit,main,5,5
200,centre,furthest,False,10,largest,station_exit,main,10,5
201,centre,furthest,False,10,largest,station_exit,side,3,5
202,centre,furthest,False,10,largest,station_exit,side,5,5
203,centre,furthest,False,10,largest,station_exit,side,10,5
204,centre,furthest,False,10,surround,metro_platform,main,3,5
205,centre,furthest,False,10,surround,metro_platform,main,5,5
206,centre,furthest,False,10,surround,metro_platform,main,10,5
207,centre,furthest,False,10,surround,metro_platform,side,3,5
