scenario,crim_pos,crim_strat,crim_bounded_rat,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
0,centre,random,True,3,furthest,metro_platform,main,3,2
1,centre,random,True,3,furthest,metro_platform,main,3,5
2,centre,random,True,3,furthest,metro_platform,main,3,10
3,centre,random,True,3,furthest,metro_platform,main,5,2
4,centre,random,True,3,furthest,metro_platform,main,5,5
5,centre,random,True,3,furthest,metro_platform,main,5,10
6,centre,random,True,3,furthest,metro_platform,main,10,2
7,centre,random,True,3,furthest,metro_platform,main,10,5
8,centre,random,True,3,furthest,metro_platform,main,10,10
9,centre,random,True,3,furthest,metro_platform,side,3,2
10,centre,random,True,3,furthest,metro_platform,side,3,5
11,centre,random,True,3,furthest,metro_platform,side,3,10
12,centre,random,True,3,furthest,metro_platform,side,5,2
13,centre,random,True,3,furthest,metro_platform,side,5,5
14,centre,random,True,3,furthest,metro_platform,side,5,10
15,centre,random,True,3,furthest,metro_platform,side,10,2
16,centre,random,True,3,furthest,metro_platform,side,10,5
17,centre,random,True,3,furthest,metro_platform,side,10,10
18,centre,random,True,3,furthest,station_exit,main,3,2
19,centre,random,True,3,furthest,station_exit,main,3,5
20,centre,random,True,3,furthest,station_exit,main,3,10
21,centre,random,True,3,furthest,station_exit,main,5,2
22,centre,random,True,3,furthest,station_exit,main,5,5
23,centre,random,True,3,furthest,station_exit,main,5,10
24,centre,random,True,3,furthest,station_exit,main,10,2
25,centre,random,True,3,furthest,station_exit,main,10,5
26,centre,random,True,3,furthest,station_exit,main,10,10
27,centre,random,True,3,furthest,station_exit,side,3,2
28,centre,random,True,3,furthest,station_exit,side,3,5
29,centre,random,True,3,furthest,station_exit,side,3,10
30,centre,random,True,3,furthest,station_exit,side,5,2
31,centre,random,True,3,furthest,station_exit,side,5,5
32,centre,random,True,3,furthest,station_exit,side,5,10
33,centre,random,True,3,furthest,station_exit,side,10,2
34,centre,random,True,3,furthest,station_exit,side,10,5
35,centre,random,True,3,furthest,station_exit,side,10,10
36,centre,random,True,3,largest,metro_platform,main,3,2
37,centre,random,True,3,largest,metro_platform,main,3,5
38,centre,random,True,3,largest,metro_platform,main,3,10
39,centre,random,True,3,largest,metro_platform,main,5,2
40,centre,random,True,3,largest,metro_platform,main,5,5
41,centre,random,True,3,largest,metro_platform,main,5,10
42,centre,random,True,3,largest,metro_platform,main,10,2
43,centre,random,True,3,largest,metro_platform,main,10,5
44,centre,random,True,3,largest,metro_platform,main,10,10
45,centre,random,True,3,largest,metro_platform,side,3,2
46,centre,random,True,3,largest,metro_platform,side,3,5
47,centre,random,True,3,largest,metro_platform,side,3,10
48,centre,random,True,3,largest,metro_platform,side,5,2
49,centre,random,True,3,largest,metro_platform,side,5,5
50,centre,random,True,3,largest,metro_platform,side,5,10
51,centre,random,True,3,largest,metro_platform,side,10,2
52,centre,random,True,3,largest,metro_platform,side,10,5
53,centre,random,True,3,largest,metro_platform,side,10,10
54,centre,random,True,3,largest,station_exit,main,3,2
55,centre,random,True,3,largest,station_exit,main,3,5
56,centre,random,True,3,largest,station_exit,main,3,10
57,centre,random,True,3,largest,station_exit,main,5,2
58,centre,random,True,3,largest,station_exit,main,5,5
59,centre,random,True,3,largest,station_exit,main,5,10
60,centre,random,True,3,largest,station_exit,main,10,2
61,centre,random,True,3,largest,station_exit,main,10,5
62,centre,random,True,3,largest,station_exit,main,10,10
63,centre,random,True,3,largest,station_exit,side,3,2
64,centre,random,True,3,largest,station_exit,side,3,5
65,centre,random,True,3,largest,station_exit,side,3,10
66,centre,random,True,3,largest,station_exit,side,5,2
67,centre,random,True,3,largest,station_exit,side,5,5
68,centre,random,True,3,largest,station_exit,side,5,10
69,centre,random,True,3,largest,station_exit,side,10,2
70,centre,random,True,3,largest,station_exit,side,10,5
71,centre,random,True,3,largest,station_exit,side,10,10
72,centre,random,True,3,surround,metro_platform,main,3,2
73,centre,random,True,3,surround,metro_platform,main,3,5
74,centre,random,True,3,surround,metro_platform,main,3,10
75,centre,random,True,3,surround,metro_platform,main,5,2
76,centre,random,True,3,surround,metro_platform,main,5,5
77,centre,random,True,3,surround,metro_platform,main,5,10
78,centre,random,True,3,surround,metro_platform,main,10,2
79,centre,random,True,3,surround,metro_platform,main,10,5
80,centre,random,True,3,surround,metro_platform,main,10,10
81,centre,random,True,3,surround,metro_platform,side,3,2
82,centre,random,True,3,surround,metro_platform,side,3,5
83,centre,random,True,3,surround,metro_platform,side,3,10
84,centre,random,True,3,surround,metro_platform,side,5,2
85,centre,random,True,3,surround,metro_platform,side,5,5
86,centre,random,True,3,surround,metro_platform,side,5,10
87,centre,random,True,3,surround,metro_platform,side,10,2
88,centre,random,True,3,surround,metro_platform,side,10,5
89,centre,random,True,3,surround,metro_platform,side,10,10
90,centre,random,True,3,surround,station_exit,main,3,2
91,centre,random,True,3,surround,station_exit,main,3,5
92,centre,random,True,3,surround,station_exit,main,3,10
93,centre,random,True,3,surround,station_exit,main,5,2
94,centre,random,True,3,surround,station_exit,main,5,5
95,centre,random,True,3,surround,station_exit,main,5,10
96,centre,random,True,3,surround,station_exit,main,10,2
97,centre,random,True,3,surround,station_exit,main,10,5
98,centre,random,True,3,surround,station_exit,main,10,10
99,centre,random,True,3,surround,station_exit,side,3,2
100,centre,random,True,3,surround,station_exit,side,3,5
101,centre,random,True,3,surround,station_exit,side,3,10
102,centre,random,True,3,surround,station_exit,side,5,2
103,centre,random,True,3,surround,station_exit,side,5,5
104,centre,random,True,3,surround,station_exit,side,5,10
105,centre,random,True,3,surround,station_exit,side,10,2
106,centre,random,True,3,surround,station_exit,side,10,5
107,centre,random,True,3,surround,station_exit,side,10,10
108,centre,random,True,6,furthest,metro_platform,main,3,2
109,centre,random,True,6,furthest,metro_platform,main,3,5
110,centre,random,True,6,furthest,metro_platform,main,3,10
111,centre,random,True,6,furthest,metro_platform,main,5,2
112,centre,random,True,6,furthest,metro_platform,main,5,5
113,centre,random,True,6,furthest,metro_platform,main,5,10
114,centre,random,True,6,furthest,metro_platform,main,10,2
115,centre,random,True,6,furthest,metro_platform,main,10,5
116,centre,random,True,6,furthest,metro_platform,main,10,10
117,centre,random,True,6,furthest,metro_platform,side,3,2
118,centre,random,True,6,furthest,metro_platform,side,3,5
119,centre,random,True,6,furthest,metro_platform,side,3,10
120,centre,random,True,6,furthest,metro_platform,side,5,2
121,centre,random,True,6,furthest,metro_platform,side,5,5
122,centre,random,True,6,furthest,metro_platform,side,5,10
123,centre,random,True,6,furthest,metro_platform,side,10,2
124,centre,random,True,6,furthest,metro_platform,side,10,5
125,centre,random,True,6,furthest,metro_platform,side,10,10
126,centre,random,True,6,furthest,station_exit,main,3,2
127,centre,random,True,6,furthest,station_exit,main,3,5
128,centre,random,True,6,furthest,station_exit,main,3,10
129,centre,random,True,6,furthest,station_exit,main,5,2
130,centre,random,True,6,furthest,station_exit,main,5,5
131,centre,random,True,6,furthest,station_exit,main,5,10
132,centre,random,True,6,furthest,station_exit,main,10,2
133,centre,random,True,6,furthest,station_exit,main,10,5
134,centre,random,True,6,furthest,station_exit,main,10,10
135,centre,random,True,6,furthest,station_exit,side,3,2
136,centre,random,True,6,furthest,station_exit,side,3,5
137,centre,random,True,6,furthest,station_exit,side,3,10
138,centre,random,True,6,furthest,station_exit,side,5,2
139,centre,random,True,6,furthest,station_exit,side,5,5
140,centre,random,True,6,furthest,station_exit,side,5,10
141,centre,random,True,6,furthest,station_exit,side,10,2
142,centre,random,True,6,furthest,station_exit,side,10,5
143,centre,random,True,6,furthest,station_exit,side,10,10
144,centre,random,True,6,largest,metro_platform,main,3,2
145,centre,random,True,6,largest,metro_platform,main,3,5
146,centre,random,True,6,largest,metro_platform,main,3,10
147,centre,random,True,6,largest,metro_platform,main,5,2
148,centre,random,True,6,largest,metro_platform,main,5,5
149,centre,random,True,6,largest,metro_platform,main,5,10
150,centre,random,True,6,largest,metro_platform,main,10,2
151,centre,random,True,6,largest,metro_platform,main,10,5
152,centre,random,True,6,largest,metro_platform,main,10,10
153,centre,random,True,6,largest,metro_platform,side,3,2
154,centre,random,True,6,largest,metro_platform,side,3,5
155,centre,random,True,6,largest,metro_platform,side,3,10
156,centre,random,True,6,largest,metro_platform,side,5,2
157,centre,random,True,6,largest,metro_platform,side,5,5
158,centre,random,True,6,largest,metro_platform,side,5,10
159,centre,random,True,6,largest,metro_platform,side,10,2
160,centre,random,True,6,largest,metro_platform,side,10,5
161,centre,random,True,6,largest,metro_platform,side,10,10
162,centre,random,True,6,largest,station_exit,main,3,2
163,centre,random,True,6,largest,station_exit,main,3,5
164,centre,random,True,6,largest,station_exit,main,3,10
165,centre,random,True,6,largest,station_exit,main,5,2
